27006,Standard,Advance,Davie County,NC,336
27007,Standard,Ararat,Surry County,NC,336
27009,Standard,Belews Creek,Forsyth County,NC,336
27010,Po Box,Bethania,Forsyth County,NC,336
27011,Standard,Boonville,Yadkin County,NC,"910,336"
27012,Standard,Clemmons,Forsyth County,NC,"336,910"
27013,Standard,Cleveland,Rowan County,NC,704
27014,Po Box,Cooleemee,Davie County,NC,"704,336"
27016,Standard,Danbury,Stokes County,NC,336
27017,Standard,Dobson,Surry County,NC,336
27018,Standard,East Bend,Yadkin County,NC,336
27019,Standard,Germanton,Stokes County,NC,336
27020,Standard,Hamptonville,Yadkin County,NC,"336,704"
27021,Standard,King,Stokes County,NC,336
27022,Standard,Lawsonville,Stokes County,NC,336
27023,Standard,Lewisville,Forsyth County,NC,336
27024,Standard,Lowgap,Surry County,NC,336
27025,Standard,Madison,Rockingham County,NC,336
27027,Standard,Mayodan,Rockingham County,NC,336
27028,Standard,Mocksville,Davie County,NC,"336,704"
27030,Standard,Mount Airy,Surry County,NC,336
27031,Po Box,White Plains,Surry County,NC,336
27040,Standard,Pfafftown,Forsyth County,NC,336
27041,Standard,Pilot Mountain,Surry County,NC,336
27042,Standard,Pine Hall,Stokes County,NC,336
27043,Standard,Pinnacle,Surry County,NC,336
27045,Standard,Rural Hall,Forsyth County,NC,336
27046,Standard,Sandy Ridge,Stokes County,NC,336
27047,Standard,Siloam,Surry County,NC,336
27048,Standard,Stoneville,Rockingham County,NC,336
27049,Po Box,Toast,Surry County,NC,336
27050,Standard,Tobaccoville,Forsyth County,NC,336
27051,Standard,Walkertown,Forsyth County,NC,336
27052,Standard,Walnut Cove,Stokes County,NC,336
27053,Standard,Westfield,Stokes County,NC,336
27054,Standard,Woodleaf,Rowan County,NC,"704,336"
27055,Standard,Yadkinville,Yadkin County,NC,"336,704"
27094,Unique,Rural Hall,Forsyth County,NC,336
27098,Unique,Rural Hall,Forsyth County,NC,336
27099,Unique,Rural Hall,Forsyth County,NC,336
27101,Standard,Winston Salem,Forsyth County,NC,336
27102,Po Box,Winston Salem,Forsyth County,NC,336
27103,Standard,Winston Salem,Forsyth County,NC,336
27104,Standard,Winston Salem,Forsyth County,NC,336
27105,Standard,Winston Salem,Forsyth County,NC,"336,704"
27106,Standard,Winston Salem,Forsyth County,NC,336
27107,Standard,Winston Salem,Forsyth County,NC,"336,704"
27108,Po Box,Winston Salem,Forsyth County,NC,336
27109,Standard,Winston Salem,Forsyth County,NC,336
27110,Unique,Winston Salem,Forsyth County,NC,336
27111,Unique,Winston Salem,Forsyth County,NC,336
27113,Po Box,Winston Salem,Forsyth County,NC,336
27114,Po Box,Winston Salem,Forsyth County,NC,336
27115,Po Box,Winston Salem,Forsyth County,NC,336
27116,Po Box,Winston Salem,Forsyth County,NC,336
27117,Po Box,Winston Salem,Forsyth County,NC,336
27120,Po Box,Winston Salem,Forsyth County,NC,336
27127,Standard,Winston Salem,Forsyth County,NC,336
27130,Po Box,Winston Salem,Forsyth County,NC,336
27150,Unique,Winston Salem,Forsyth County,NC,336
27151,Unique,Winston-salem,Forsyth County,NC,336
27152,Unique,Winston Salem,Forsyth County,NC,336
27155,Unique,Winston Salem,Forsyth County,NC,336
27156,Unique,Winston-salem,Forsyth County,NC,336
27157,Unique,Winston Salem,Forsyth County,NC,336
27198,Unique,Winston Salem,Forsyth County,NC,336
27199,Unique,Winston Salem,Forsyth County,NC,336
27201,Po Box,Alamance,Alamance County,NC,
27202,Po Box,Altamahaw,Alamance County,NC,
27203,Standard,Asheboro,Randolph County,NC,336
27204,Po Box,Asheboro,Randolph County,NC,336
27205,Standard,Asheboro,Randolph County,NC,336
27207,Standard,Bear Creek,Chatham County,NC,"919,336"
27208,Standard,Bennett,Chatham County,NC,"336,910"
27209,Standard,Biscoe,Montgomery County,NC,910
27212,Standard,Blanch,Caswell County,NC,336
27213,Po Box,Bonlee,Chatham County,NC,919
27214,Standard,Browns Summit,Guilford County,NC,336
27215,Standard,Burlington,Alamance County,NC,336
27216,Po Box,Burlington,Alamance County,NC,336
27217,Standard,Burlington,Alamance County,NC,336
27220,Unique,Burlington,Alamance County,NC,336
27228,Po Box,Bynum,Chatham County,NC,
27229,Standard,Candor,Montgomery County,NC,910
27230,Po Box,Cedar Falls,Randolph County,NC,336
27231,Standard,Cedar Grove,Orange County,NC,"336,919"
27233,Standard,Climax,Randolph County,NC,336
27235,Standard,Colfax,Guilford County,NC,336
27237,Po Box,Cumnock,Lee County,NC,919
27239,Standard,Denton,Davidson County,NC,336
27242,Standard,Eagle Springs,Moore County,NC,910
27243,Standard,Efland,Orange County,NC,919
27244,Standard,Elon,Alamance County,NC,"336,910"
27247,Po Box,Ether,Montgomery County,NC,910
27248,Standard,Franklinville,Randolph County,NC,336
27249,Standard,Gibsonville,Guilford County,NC,336
27252,Standard,Goldston,Chatham County,NC,919
27253,Standard,Graham,Alamance County,NC,336
27256,Po Box,Gulf,Chatham County,NC,919
27258,Standard,Haw River,Alamance County,NC,336
27259,Po Box,Highfalls,Chatham County,NC,"336,910"
27260,Standard,High Point,Guilford County,NC,336
27261,Po Box,High Point,Guilford County,NC,336
27262,Standard,High Point,Guilford County,NC,336
27263,Standard,High Point,Randolph County,NC,336
27264,Po Box,High Point,Guilford County,NC,336
27265,Standard,High Point,Guilford County,NC,336
27278,Standard,Hillsborough,Orange County,NC,919
27281,Standard,Jackson Springs,Moore County,NC,910
27282,Standard,Jamestown,Guilford County,NC,336
27283,Standard,Julian,Guilford County,NC,336
27284,Standard,Kernersville,Forsyth County,NC,336
27285,Po Box,Kernersville,Forsyth County,NC,336
27288,Standard,Eden,Rockingham County,NC,336
27289,Po Box,Eden,Rockingham County,NC,336
27291,Standard,Leasburg,Caswell County,NC,336
27292,Standard,Lexington,Davidson County,NC,"336,704,910"
27293,Po Box,Lexington,Davidson County,NC,336
27294,Unique,Lexington,Davidson County,NC,336
27295,Standard,Lexington,Davidson County,NC,"336,704"
27298,Standard,Liberty,Randolph County,NC,336
27299,Standard,Linwood,Davidson County,NC,336
27301,Standard,Mc Leansville,Guilford County,NC,336
27302,Standard,Mebane,Alamance County,NC,"919,336"
27305,Standard,Milton,Caswell County,NC,336
27306,Standard,Mount Gilead,Montgomery County,NC,"704,910"
27310,Standard,Oak Ridge,Guilford County,NC,336
27311,Standard,Pelham,Caswell County,NC,336
27312,Standard,Pittsboro,Chatham County,NC,919
27313,Standard,Pleasant Garden,Guilford County,NC,336
27314,Standard,Prospect Hill,Caswell County,NC,336
27315,Standard,Providence,Caswell County,NC,336
27316,Standard,Ramseur,Randolph County,NC,336
27317,Standard,Randleman,Randolph County,NC,336
27320,Standard,Reidsville,Rockingham County,NC,336
27321,Unique,Reidsville,Rockingham County,NC,336
27322,Unique,Reidsville,Rockingham County,NC,336
27323,Po Box,Reidsville,Rockingham County,NC,336
27325,Standard,Robbins,Moore County,NC,"910,336"
27326,Standard,Ruffin,Rockingham County,NC,336
27330,Standard,Sanford,Lee County,NC,"919,910"
27331,Po Box,Sanford,Lee County,NC,919
27332,Standard,Sanford,Lee County,NC,919
27340,Po Box,Saxapahaw,Alamance County,NC,
27341,Standard,Seagrove,Randolph County,NC,"336,910"
27342,Po Box,Sedalia,Guilford County,NC,336
